"Refs","Value","Footprint","Qty","Manufacturer","MPN","Datasheet","DNP"
"C1,C4","20pf","Library:R_0603_1608Metric","2","","","~",""
"C2,C3,C5,C6,C8,C12,C21,C22","10uF","Library:C_1206_3216Metric","8","","","~",""
"C7,C18,C19","0.1uF","Library:C_0603_1608Metric","3","","","~",""
"D1-D3","SS14","Library:D_SMA","3","","","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579710789139152896",""
"J2-J4,J6,J9","Screw_Terminal_01x10","Library:TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal","5","","","~",""
"L1","68uH","Library:L_SOREDE_SNR.1050_10x10x5mm","1","","","~",""
"R1,R3,R22,R23","390R","Library:R_0603_1608Metric","4","","","~",""
"R2,R4,R13,R15,R17,R19-R21","10k","Library:R_0603_1608Metric","8","","","~",""
"R5,R6,R16,R18","4.7k","Library:R_0603_1608Metric","4","","","~",""
"R7-R11","0R","Library:R_0603_1608Metric","5","","","~",""
"R12","120R","Library:R_0603_1608Metric","1","","","~",""
"U2","AM26LV32EIDR","Library:SOIC-16_3.9x9.9mm_P1.27mm","1","","","http://www.ti.com/lit/ds/symlink/am26lv32.pdf",""
"U3","XL1509-5.0E1","Library:SOIC-8_3.9x4.9mm_P1.27mm","1","","","https://datasheet.lcsc.com/lcsc/1809050422_XLSEMI-XL1509-5-0E1_C61063.pdf",""
"U4","SP3485EN","Library:SOIC-8_3.9x4.9mm_P1.27mm","1","","","http://www.icbase.com/pdf/SPX/SPX00480106.pdf",""
"U5","AM26LS31CDR","Library:SOIC-16_3.9x9.9mm_P1.27mm","1","","","https://www.ti.com/lit/ds/symlink/am26ls31.pdf",""
"U6-U9,U11-U14","LTV-817S","Library:SMDIP-4_W9.53mm","8","","","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF",""
"U15","AMS1117-3.3","Library:SOT-223-3_TabPin2","1","","","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
"Y1","32.768khz 3215 12.5pf","Library:Crystal_SMD_3215-2Pin_3.2x1.5mm","1","","","https://datasheet.lcsc.com/lcsc/1810171817_Seiko-Epson-Q13FC1350000400_C32346.pdf",""
