Ref,Val,Package,PosX,PosY,Rot,Side
"C1","20pf","R_0603_1608Metric",80.500000,-68.000000,-90.000000,top
"C2","10uF","C_1206_3216Metric",131.000000,-61.000000,-90.000000,top
"C3","10uF","C_1206_3216Metric",121.061444,-58.455138,0.000000,top
"C4","20pf","R_0603_1608Metric",80.500000,-71.000000,-90.000000,top
"C5","10uF","C_1206_3216Metric",133.500000,-61.000000,-90.000000,top
"C6","10uF","C_1206_3216Metric",121.061444,-60.955138,0.000000,top
"C7","0.1uF","C_0603_1608Metric",73.553790,-108.458971,-90.000000,top
"C8","10uF","C_1206_3216Metric",121.061444,-63.455138,0.000000,top
"C12","10uF","C_1206_3216Metric",121.061444,-65.955138,0.000000,top
"C18","0.1uF","C_0603_1608Metric",128.746388,-77.500000,180.000000,top
"C19","0.1uF","C_0603_1608Metric",64.900000,-63.300000,-90.000000,top
"C21","10uF","C_1206_3216Metric",134.216540,-71.149908,-90.000000,top
"C22","10uF","C_1206_3216Metric",122.000000,-73.525000,-90.000000,top
"D1","SS14","D_SMA",131.501087,-53.706794,-90.000000,top
"D2","SS14","D_SMA",120.000000,-69.000000,180.000000,top
"D3","SS14","D_SMA",137.000000,-57.000000,90.000000,top
"J2","Screw_Terminal_01x10","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",105.000000,-136.500000,0.000000,top
"J3","Screw_Terminal_01x10","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",63.000000,-136.500000,0.000000,top
"J4","Screw_Terminal_01x10","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",59.500000,-91.000000,-90.000000,top
"J6","Screw_Terminal_01x10","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",59.500000,-52.500000,-90.000000,top
"J8","Screw_Terminal_01x10","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",143.000000,-122.500000,90.000000,top
"J9","Screw_Terminal_01x10","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",143.000000,-84.000000,90.000000,top
"L1","68uH","L_SOREDE_SNR.1050_10x10x5mm",124.000000,-52.000000,180.000000,top
"R1","390R","R_0603_1608Metric",109.000000,-117.000000,90.000000,top
"R2","10k","R_0603_1608Metric",120.175000,-83.500000,0.000000,top
"R3","390R","R_0603_1608Metric",117.000000,-117.000000,90.000000,top
"R4","10k","R_0603_1608Metric",78.000000,-91.000000,-90.000000,top
"R5","4.7k","R_0603_1608Metric",82.175000,-131.000000,180.000000,top
"R6","4.7k","R_0603_1608Metric",90.675000,-131.000000,180.000000,top
"R7","0R","R_0603_1608Metric",120.175000,-77.440000,0.000000,top
"R8","0R","R_0603_1608Metric",120.175000,-80.500000,0.000000,top
"R9","0R","R_0603_1608Metric",120.175000,-82.000000,0.000000,top
"R10","0R","R_0603_1608Metric",132.825000,-81.750997,0.000000,top
"R11","0R","R_0603_1608Metric",132.825000,-80.250997,0.000000,top
"R12","120R","R_0603_1608Metric",135.800000,-81.000000,-90.000000,top
"R13","10k","R_0603_1608Metric",79.000000,-75.000000,90.000000,top
"R15","10k","R_0603_1608Metric",120.175000,-79.000000,180.000000,top
"R16","4.7k","R_0603_1608Metric",74.675000,-131.000000,180.000000,top
"R17","10k","R_0603_1608Metric",73.675000,-117.000000,180.000000,top
"R18","4.7k","R_0603_1608Metric",65.000000,-131.000000,180.000000,top
"R19","10k","R_0603_1608Metric",66.925000,-117.000000,180.000000,top
"R20","10k","R_0603_1608Metric",82.175000,-117.000000,180.000000,top
"R21","10k","R_0603_1608Metric",91.000000,-117.000000,180.000000,top
"R22","390R","R_0603_1608Metric",125.500000,-117.000000,90.000000,top
"R23","390R","R_0603_1608Metric",133.000000,-117.000000,90.000000,top
"U1","ESP32-S3-DevKitC","ESP32-S3-DevKitC",83.820000,-50.800000,0.000000,top
"U2","AM26LV32EIDR","SOIC-16_3.9x9.9mm_P1.27mm",69.000000,-103.000000,-90.000000,top
"U3","XL1509-5.0E1","SOIC-8_3.9x4.9mm_P1.27mm",127.000000,-62.000000,-90.000000,top
"U4","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm",127.246388,-81.000000,0.000000,top
"U5","AM26LS31CDR","SOIC-16_3.9x9.9mm_P1.27mm",71.100000,-64.900000,90.000000,top
"U6","LTV-817S","SMDIP-4_W9.53mm",67.500000,-124.000000,90.000000,top
"U7","LTV-817S","SMDIP-4_W9.53mm",76.000000,-124.000000,90.000000,top
"U8","LTV-817S","SMDIP-4_W9.53mm",84.500000,-124.000000,90.000000,top
"U9","LTV-817S","SMDIP-4_W9.53mm",108.000000,-125.000000,-90.000000,top
"U11","LTV-817S","SMDIP-4_W9.53mm",116.000000,-125.000000,-90.000000,top
"U12","LTV-817S","SMDIP-4_W9.53mm",93.000000,-124.000000,90.000000,top
"U13","LTV-817S","SMDIP-4_W9.53mm",124.000000,-125.000000,-90.000000,top
"U14","LTV-817S","SMDIP-4_W9.53mm",132.000000,-125.000000,-90.000000,top
"U15","AMS1117-3.3","SOT-223-3_TabPin2",128.000000,-72.000000,180.000000,top
"Y1","32.768khz 3215 12.5pf","Crystal_SMD_3215-2Pin_3.2x1.5mm",78.500000,-69.500000,-90.000000,top
